chr1	1	248956422	123400000
chr2	1	242193529	93900000
chr3	1	198295559	90900000
chr4	1	190214555	50000000
chr5	1	181538259	48800000
chr6	1	170805979	59800000
chr7	1	159345973	60100000
chrX	1	156040895	61000000
chr8	1	145138636	45200000
chr9	1	138394717	43000000
chr11	1	135086622	53400000
chr10	1	133797422	39800000
chr12	1	133275309	35500000
chr13	1	114364328	17700000
chr14	1	107043718	17200000
chr15	1	101991189	19000000
chr16	1	90338345	36800000
chr17	1	83257441	25100000
chr18	1	80373285	18500000
chr20	1	64444167	28100000
chr19	1	58617616	26200000
chr22	1	50818468	15000000
chr21	1	46709983	12000000
